timestamp,open,high,low,close,volume
2022-08-22,4.5400,4.6250,4.4307,4.5300,21745242
2022-08-19,4.9000,5.0400,4.5900,4.6500,29308336
2022-08-18,4.8800,5.0900,4.6700,5.0400,61682639
2022-08-17,5.3500,5.4400,5.0000,5.0800,60247124
2022-08-16,5.1800,5.8800,5.0100,5.5200,113890953
2022-08-15,4.2400,4.8200,4.1379,4.6800,60698187
2022-08-12,4.1500,4.2700,4.0300,4.2500,28782983
2022-08-11,4.5000,4.5799,4.0750,4.0800,28825906
2022-08-10,4.5100,4.5400,4.3600,4.4200,23649168
2022-08-09,4.5500,4.5500,4.1500,4.2500,35438259
2022-08-08,4.6200,4.9600,4.5300,4.7500,21243406
2022-08-05,4.4900,4.6500,4.3200,4.4900,16554501
2022-08-04,4.4200,4.7050,4.3300,4.6700,20781137
2022-08-03,4.1400,4.4550,4.0700,4.4500,19715927
2022-08-02,4.0100,4.2500,3.9300,4.0900,18598754
2022-08-01,4.1300,4.3300,4.0100,4.0500,15569965
2022-07-29,4.2100,4.2500,4.0700,4.2100,19768571
2022-07-28,4.0700,4.2900,3.9900,4.2100,26905090
2022-07-27,3.9100,4.0500,3.7700,4.0400,19602371
2022-07-26,3.9800,4.0100,3.7900,3.7900,22128102
2022-07-25,4.2300,4.2500,4.0700,4.1600,7354384
2022-07-22,4.5400,4.5700,4.1900,4.2200,15308048
2022-07-21,4.5800,4.6900,4.3400,4.5300,16147841
2022-07-20,4.0900,4.6500,4.0700,4.6200,35949699
2022-07-19,3.9700,4.1050,3.9300,4.0700,15320222
2022-07-18,3.9600,4.0900,3.8700,3.8900,18022594
2022-07-15,3.8900,3.9750,3.7700,3.8500,16354557
2022-07-14,3.9300,3.9650,3.8000,3.8200,11684267
2022-07-13,3.8300,4.1000,3.7950,3.9800,11399693
2022-07-12,3.7700,4.0750,3.7188,3.9500,20355769
2022-07-11,3.9000,3.9000,3.6100,3.7700,31731629
2022-07-08,4.1300,4.1300,3.9600,3.9800,16027344
2022-07-07,4.0600,4.2200,4.0600,4.1700,11482827
2022-07-06,4.1700,4.2650,3.9400,4.0600,18629826
2022-07-05,3.8400,4.1600,3.7100,4.1600,24797946
2022-07-01,3.7100,3.9800,3.7000,3.9100,14709014
2022-06-30,3.8300,3.9000,3.6000,3.7400,19317187
2022-06-29,3.8700,3.9850,3.8000,3.8700,17786252
2022-06-28,3.9900,4.1000,3.7700,3.8400,13000777
2022-06-27,4.0900,4.1500,3.8900,3.9800,10757103
2022-06-24,4.0500,4.2400,4.0100,4.0600,19813186
2022-06-23,4.0000,4.2100,3.9200,4.0000,36842219
2022-06-22,3.7700,3.9800,3.7100,3.9400,30671270
2022-06-21,3.5900,3.9900,3.5800,3.8600,34715184
2022-06-17,3.3700,3.5000,3.2900,3.4700,19219073
2022-06-16,3.3700,3.4800,3.2600,3.3100,15488234
2022-06-15,3.4400,3.6500,3.3700,3.5200,25904411
2022-06-14,3.5600,3.6100,3.3604,3.4300,19273633
2022-06-13,3.4800,3.5900,3.4050,3.5100,28705950
2022-06-10,3.6700,3.8491,3.6150,3.6400,31451314
2022-06-09,4.3300,4.3300,3.8501,3.8600,24072898
